label_v2_row_id,source_round,source_row_key,context_key,checkpoint_id,checkpoint_iteration,map,map_family,agents,seed,nominal_budget_ms,horizon_id,short_budget_ms,base_time_limit_sec,ltm_max_iterations,traffic_before_hash,trace_window_hash,update_checkpoint_hash,candidate_id,theta_id,theta_family,theta_fingerprint,static_flow_success,additive_success,candidate_success,static_flow_ratio,additive_ratio,candidate_ratio,candidate_minus_static_ratio_delta,candidate_minus_additive_ratio_delta,success_regression_vs_static_flow,success_regression_vs_additive,success_gain_vs_static_flow,success_gain_vs_additive,both_success_vs_static_flow,both_success_vs_additive,fingerprint_match,candidate_recognized,cost_finite_all,cost_within_bounds_all,theta_in_bounds,theta_in_safe_library,theta_in_forbidden_library,support_distance_to_safe_positive,support_distance_to_hard_negative,near_hard_negative,out_of_distribution_context,hard_negative_success_regression_vs_static_flow,hard_negative_success_regression_vs_additive,hard_negative_fingerprint_or_cost,hard_negative_out_of_support,safe_candidate,useful_candidate,safe_useful_candidate,quality_gain_candidate,quality_worse_candidate,forbidden_theta,abstain_to_static_flow,allow_theta,risk_score_label,utility_score_label,support_score_label,policy_action_label,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,counts_as_new_g552_label_v2_row,real_solver_source_reused,source_reuse_index
g552_label_v2_00000010,g549_fulltheta,random-32-32-20|50|1406|2000|c0_short1000_t050_i2|random-32-32-20|50|1406|1000|0|14650fb0739d0383|random-32-32-20|50|1406|2000|c0_short1000_t050_i2|repair5g549_theta_549000011,random-32-32-20|50|1406|1000|0|14650fb0739d0383,random-32-32-20|50|1406|2000|c0_short1000_t050_i2,,random-32-32-20,random,50,1406,2000,c0_short1000_t050_i2,1000,0.5,2,,random-32-32-20|50|1406|1000|0|14650fb0739d0383,random-32-32-20|50|1406|2000|c0_short1000_t050_i2,repair5g549_theta_549000011,repair5g549_theta_549000011,static_flow_local_perturbation_fulltheta,,True,True,True,1.1628113879,1.22864768683,1.11921708185,-0.04359430605,-0.10943060498,False,False,False,False,True,True,True,True,True,True,True,False,False,0.5640569395,0,False,False,False,False,False,False,True,True,True,True,False,False,False,True,0,0.04359430605,0.5640569395,ALLOW_THETA,1.25,1.25,1.25,0.75,0.75,1,0.768346463307,0.95,1,0.717935764128,0.706961186078,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True,True,0
g552_label_v2_00000011,g549_fulltheta,random-32-32-20|50|1406|2000|c0_short1000_t050_i2|random-32-32-20|50|1406|1000|0|14650fb0739d0383|random-32-32-20|50|1406|2000|c0_short1000_t050_i2|repair5g549_theta_549000012,random-32-32-20|50|1406|1000|0|14650fb0739d0383,random-32-32-20|50|1406|2000|c0_short1000_t050_i2,,random-32-32-20,random,50,1406,2000,c0_short1000_t050_i2,1000,0.5,2,,random-32-32-20|50|1406|1000|0|14650fb0739d0383,random-32-32-20|50|1406|2000|c0_short1000_t050_i2,repair5g549_theta_549000012,repair5g549_theta_549000012,lambda_flow_lambda_cong_sweep,,True,True,True,1.1628113879,1.22864768683,1.13523131673,-0.02758007117,-0.0934163701,False,False,False,False,True,True,True,True,True,True,True,False,False,0.7241992883,0,False,False,False,False,False,False,True,True,True,True,False,False,False,True,0,0.02758007117,0.7241992883,ALLOW_THETA,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,0.843708312583,0.0204599590801,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True,True,0
g552_label_v2_00000012,g549_fulltheta,random-32-32-20|50|1406|2000|c0_short1000_t050_i2|random-32-32-20|50|1406|1000|0|14650fb0739d0383|random-32-32-20|50|1406|2000|c0_short1000_t050_i2|repair5g549_theta_549000013,random-32-32-20|50|1406|1000|0|14650fb0739d0383,random-32-32-20|50|1406|2000|c0_short1000_t050_i2,,random-32-32-20,random,50,1406,2000,c0_short1000_t050_i2,1000,0.5,2,,random-32-32-20|50|1406|1000|0|14650fb0739d0383,random-32-32-20|50|1406|2000|c0_short1000_t050_i2,repair5g549_theta_549000013,repair5g549_theta_549000013,alpha_flow_wait_progress_sweep,,True,True,True,1.1628113879,1.22864768683,1.13879003559,-0.02402135231,-0.08985765124,False,False,False,False,True,True,True,True,True,True,True,False,False,0.7597864769,0,False,False,False,False,False,False,True,True,True,True,False,False,False,True,0,0.02402135231,0.7597864769,ALLOW_THETA,1.25,1.25,1.25,0.75,0.75,1,1.10377529245,0.95,1,1,0.510681478637,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True,True,0
g552_label_v2_00000013,g549_fulltheta,random-32-32-20|50|1406|2000|c0_short1000_t050_i2|random-32-32-20|50|1406|1000|0|14650fb0739d0383|random-32-32-20|50|1406|2000|c0_short1000_t050_i2|repair5g549_theta_549000014,random-32-32-20|50|1406|1000|0|14650fb0739d0383,random-32-32-20|50|1406|2000|c0_short1000_t050_i2,,random-32-32-20,random,50,1406,2000,c0_short1000_t050_i2,1000,0.5,2,,random-32-32-20|50|1406|1000|0|14650fb0739d0383,random-32-32-20|50|1406|2000|c0_short1000_t050_i2,repair5g549_theta_549000014,repair5g549_theta_549000014,edge_cost_clamp_sweep,,True,True,True,1.1628113879,1.22864768683,1.13612099644,-0.02669039146,-0.09252669039,False,False,False,False,True,True,True,True,True,True,True,False,False,0.7330960854,0,False,False,False,False,False,False,True,True,True,True,False,False,False,True,0,0.02669039146,0.7330960854,ALLOW_THETA,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.736289277421,11.6438527123,1,0,0,False,False,False,False,False,True,True,0
g552_label_v2_00000014,g549_fulltheta,random-32-32-20|50|1406|2000|c0_short1000_t050_i2|random-32-32-20|50|1406|1000|0|14650fb0739d0383|random-32-32-20|50|1406|2000|c0_short1000_t050_i2|repair5g549_theta_549000015,random-32-32-20|50|1406|1000|0|14650fb0739d0383,random-32-32-20|50|1406|2000|c0_short1000_t050_i2,,random-32-32-20,random,50,1406,2000,c0_short1000_t050_i2,1000,0.5,2,,random-32-32-20|50|1406|1000|0|14650fb0739d0383,random-32-32-20|50|1406|2000|c0_short1000_t050_i2,repair5g549_theta_549000015,repair5g549_theta_549000015,goal_projection_mode_ablation,,True,True,True,1.1628113879,1.22864768683,1.09964412811,-0.06316725979,-0.12900355872,False,False,False,False,True,True,True,True,True,True,True,False,False,0.3683274021,0,False,False,False,False,False,False,True,True,True,True,False,False,False,True,0,0.06316725979,0.3683274021,ALLOW_THETA,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1.42332315335,0.35,0.75,1,11,0,0,1,False,False,False,False,False,True,True,0
g552_label_v2_00000015,g549_fulltheta,random-32-32-20|50|1406|2000|c0_short1000_t050_i2|random-32-32-20|50|1406|1000|0|14650fb0739d0383|random-32-32-20|50|1406|2000|c0_short1000_t050_i2|repair5g549_theta_549000016,random-32-32-20|50|1406|1000|0|14650fb0739d0383,random-32-32-20|50|1406|2000|c0_short1000_t050_i2,,random-32-32-20,random,50,1406,2000,c0_short1000_t050_i2,1000,0.5,2,,random-32-32-20|50|1406|1000|0|14650fb0739d0383,random-32-32-20|50|1406|2000|c0_short1000_t050_i2,repair5g549_theta_549000016,repair5g549_theta_549000016,alpha_cong_commit_nonprogress_sweep,,True,True,True,1.1628113879,1.22864768683,1.14679715302,-0.01601423488,-0.08185053381,False,False,False,False,True,True,True,True,True,True,True,False,False,0.8398576512,0,False,False,False,False,False,False,True,True,True,True,False,False,False,True,0,0.01601423488,0.8398576512,ALLOW_THETA,1.25,0.843795562409,1.25,0.75,0.75,1,1,0.95,1,0.982141035718,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True,True,0
g552_label_v2_00000016,g549_fulltheta,random-32-32-20|50|1406|2000|c0_short1000_t050_i2|random-32-32-20|50|1406|1000|0|14650fb0739d0383|random-32-32-20|50|1406|2000|c0_short1000_t050_i2|repair5g549_theta_549000017,random-32-32-20|50|1406|1000|0|14650fb0739d0383,random-32-32-20|50|1406|2000|c0_short1000_t050_i2,,random-32-32-20,random,50,1406,2000,c0_short1000_t050_i2,1000,0.5,2,,random-32-32-20|50|1406|1000|0|14650fb0739d0383,random-32-32-20|50|1406|2000|c0_short1000_t050_i2,repair5g549_theta_549000017,repair5g549_theta_549000017,g543_true_near_signal_neighborhood,,True,True,True,1.1628113879,1.22864768683,1.16814946619,0.00533807829,-0.06049822064,False,False,False,False,True,True,True,True,True,True,True,False,False,0.9466192171,0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0,-0.00533807829,0.9466192171,ABSTAIN_TO_STATIC_FLOW,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.20767978464,0.229727940544,0.781452687095,1,11,1,0,0,False,False,False,False,False,True,True,0
g552_label_v2_00000017,g549_fulltheta,random-32-32-20|50|1406|2000|c0_short1000_t050_i2|random-32-32-20|50|1406|1000|0|14650fb0739d0383|random-32-32-20|50|1406|2000|c0_short1000_t050_i2|repair5g549_theta_549000018,random-32-32-20|50|1406|1000|0|14650fb0739d0383,random-32-32-20|50|1406|2000|c0_short1000_t050_i2,,random-32-32-20,random,50,1406,2000,c0_short1000_t050_i2,1000,0.5,2,,random-32-32-20|50|1406|1000|0|14650fb0739d0383,random-32-32-20|50|1406|2000|c0_short1000_t050_i2,repair5g549_theta_549000018,repair5g549_theta_549000018,g546_g548_safe_no_gain_neighborhood,,True,True,True,1.1628113879,1.22864768683,1.14857651246,-0.01423487544,-0.08007117437,False,False,False,False,True,True,True,True,True,True,True,False,False,0.8576512456,0,False,False,False,False,False,False,True,True,True,True,False,False,False,True,0,0.01423487544,0.8576512456,ALLOW_THETA,1.25,1.25,1.25,0.75,0.75,1,0.336436127128,0.95,1,1.09575445849,1,0.35,0.75,0.405103539793,11,1,0,0,False,False,False,False,False,True,True,0
g552_label_v2_00000018,g549_fulltheta,random-32-32-20|50|1406|2000|c0_short1000_t050_i2|random-32-32-20|50|1406|1000|0|14650fb0739d0383|random-32-32-20|50|1406|2000|c0_short1000_t050_i2|repair5g549_theta_549000019,random-32-32-20|50|1406|1000|0|14650fb0739d0383,random-32-32-20|50|1406|2000|c0_short1000_t050_i2,,random-32-32-20,random,50,1406,2000,c0_short1000_t050_i2,1000,0.5,2,,random-32-32-20|50|1406|1000|0|14650fb0739d0383,random-32-32-20|50|1406|2000|c0_short1000_t050_i2,repair5g549_theta_549000019,repair5g549_theta_549000019,surrogate_guided_theta_if_model_exists,,True,True,True,1.1628113879,1.22864768683,1.14145907473,-0.02135231317,-0.0871886121,False,False,False,False,True,True,True,True,True,True,True,False,False,0.7864768683,0,False,False,False,False,False,False,True,True,True,True,False,False,False,True,0,0.02135231317,0.7864768683,ALLOW_THETA,1.25,1.39544170912,1.25,0.75,0.75,1,1,0.95,1,0.978847342305,0.921348857302,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True,True,0
g552_label_v2_00000019,g549_fulltheta,random-32-32-20|50|1406|2000|c0_short1000_t050_i2|random-32-32-20|50|1406|1000|0|14650fb0739d0383|random-32-32-20|50|1406|2000|c0_short1000_t050_i2|repair5g549_theta_549000020,random-32-32-20|50|1406|1000|0|14650fb0739d0383,random-32-32-20|50|1406|2000|c0_short1000_t050_i2,,random-32-32-20,random,50,1406,2000,c0_short1000_t050_i2,1000,0.5,2,,random-32-32-20|50|1406|1000|0|14650fb0739d0383,random-32-32-20|50|1406|2000|c0_short1000_t050_i2,repair5g549_theta_549000020,repair5g549_theta_549000020,negative_control,,True,True,True,1.1628113879,1.22864768683,1.128113879,-0.0346975089,-0.10053380783,False,False,False,False,True,True,True,True,True,True,True,False,False,0.653024911,0,False,False,False,False,False,False,True,True,True,True,False,False,False,True,0,0.0346975089,0.653024911,ALLOW_THETA,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,0.716541566917,1.29423791152,0.35,0.75,1,8.12745974508,0,0,1,False,False,False,False,False,True,True,0
g552_label_v2_00000020,g549_fulltheta,random-32-32-20|50|1406|2000|c0_short1000_t050_i2|random-32-32-20|50|1406|1000|0|14650fb0739d0383|random-32-32-20|50|1406|2000|c0_short1000_t050_i2|repair5g549_theta_549000021,random-32-32-20|50|1406|1000|0|14650fb0739d0383,random-32-32-20|50|1406|2000|c0_short1000_t050_i2,,random-32-32-20,random,50,1406,2000,c0_short1000_t050_i2,1000,0.5,2,,random-32-32-20|50|1406|1000|0|14650fb0739d0383,random-32-32-20|50|1406|2000|c0_short1000_t050_i2,repair5g549_theta_549000021,repair5g549_theta_549000021,static_flow_local_perturbation_fulltheta,,True,True,True,1.1628113879,1.22864768683,1.14679715302,-0.01601423488,-0.08185053381,False,False,False,False,True,True,True,True,True,True,True,False,False,0.8398576512,0,False,False,False,False,False,False,True,True,True,True,False,False,False,True,0,0.01601423488,0.8398576512,ALLOW_THETA,1.25,1.25,1.25,0.75,0.75,1,1.11075977848,0.95,1,0.758372683255,0.832565534869,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True,True,0
g552_label_v2_00000021,g549_fulltheta,random-32-32-20|50|1406|2000|c0_short1000_t050_i2|random-32-32-20|50|1406|1000|0|14650fb0739d0383|random-32-32-20|50|1406|2000|c0_short1000_t050_i2|repair5g549_theta_549000022,random-32-32-20|50|1406|1000|0|14650fb0739d0383,random-32-32-20|50|1406|2000|c0_short1000_t050_i2,,random-32-32-20,random,50,1406,2000,c0_short1000_t050_i2,1000,0.5,2,,random-32-32-20|50|1406|1000|0|14650fb0739d0383,random-32-32-20|50|1406|2000|c0_short1000_t050_i2,repair5g549_theta_549000022,repair5g549_theta_549000022,lambda_flow_lambda_cong_sweep,,True,True,True,1.1628113879,1.22864768683,1.15747330961,-0.00533807829,-0.07117437722,False,False,False,False,True,True,True,True,True,True,True,False,False,0.9466192171,0,False,False,False,False,False,False,True,True,True,True,False,False,False,True,0,0.00533807829,0.9466192171,ALLOW_THETA,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.47086805826,0.0749863500273,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True,True,0
