g550_targeted_probe_row_id,execution_mode,counts_as_new_g546_solver_row,real_solver_execution,context_key,context_id,role,candidate_id,materialized_method,sampling_policy,map,map_family,agents,seed,budget_ms,iteration,solution_found,probe_feasible,sum_of_loss_ratio,probe_sum_of_loss,probe_lower_bound,probe_runtime_ms,expanded_nodes,low_level_pibt_calls,trace_event_count,delta_vs_additive_in_same_context,delta_vs_static_in_same_context,is_best_candidate_in_context,oracle_gap_vs_static,candidate_recognized,updateparams_hash,updateparams_fingerprint,traffic_before_hash_full,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,feature_map_family_maze,feature_map_family_random,feature_map_family_warehouse,feature_agents,feature_budget_ms,feature_iteration_final,feature_trace_event_count,feature_trace_events_per_agent,feature_pibt_failure_audit_count,feature_expanded_nodes,feature_high_level_expansions,feature_low_level_pibt_calls,feature_expansions_per_agent,feature_budget_per_agent,feature_obstacle_ratio_proxy,feature_corridor_proxy,feature_junction_proxy,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,counts_as_new_g549_solver_row,probe_materialized,no_probe_reason,panel,route,horizon_id,nominal_budget_ms,short_budget_ms,base_time_limit_sec,ltm_max_iterations,fresh_seed_block,theta_cluster,registry_label,candidate_group,fulltheta_registry_row_id,counts_as_g549_calibration_topup,counts_as_g549_fulltheta_replay,context_horizon_key,fulltheta_fingerprint_match,fulltheta_fingerprint_mismatched_fields,counts_as_new_g550_solver_row,g550_stage
g550_targeted_probe_00000010,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1820|2000|0|14650fb0739d0383,random-32-32-20|a50|s1820|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1820_hgenerated_theta_targeted_short2000_t100_i2_b2000,generated_theta::repair5g550_theta_550000083,repair5g550_theta_550000083,repair5g550_theta_550000083,safe_expert_mixture_with_abstention,random-32-32-20,random,50,1820,2000,0,True,True,1.13052415211,1100,973,401.5656,44,2150,2029,-0.179856115108,-0.0205549845838,False,-0.0698869475848,True,fe4491ff97db5db1,alpha_commit=1.5|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.5|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0.95999999999999996|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=0.81999999999999995|lambda_flow=0.92000000000000004|min_edge_cost=0.52996098148299997|max_edge_cost=11.4311326685|goal_projection_mode=flow_shield|flow_shield_beta=0.40250000000000002|max_flow_shield=0.65249999999999997,14650fb0739d0383,1.25,1.5,1.25,0.75,0.75,1,0.96,0.95,1,0.82,0.92,0.4025,0.6525,0.529960981483,11.4311326685,1,0,0,0,1,0,50,2000,0,2029,40.58,0,44,0,2150,0.88,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,safe_expert_mixture_with_abstention,safe_expert_mixture,safe_expert_mixture_with_abstention,generated_policy_000082,,,random-32-32-20|50|1820|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
g550_targeted_probe_00000011,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1820|2000|0|14650fb0739d0383,random-32-32-20|a50|s1820|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1820_hgenerated_theta_targeted_short2000_t100_i2_b2000,generated_theta::repair5g550_theta_550000084,repair5g550_theta_550000084,repair5g550_theta_550000084,safe_expert_mixture_with_abstention,random-32-32-20,random,50,1820,2000,0,True,True,1.21274409044,1180,973,471.9,44,2150,2029,-0.0976361767729,0.0616649537513,False,-0.0698869475848,True,e44a8e8cb4333d6f,alpha_commit=1.075|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.075|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0.81999999999999995|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1.2|lambda_flow=1.1299999999999999|min_edge_cost=0.708742999333|max_edge_cost=11.5322931346|goal_projection_mode=flow_shield|flow_shield_beta=0.33250000000000002|max_flow_shield=0.66000000000000003,14650fb0739d0383,1.25,1.075,1.25,0.75,0.75,1,0.82,0.95,1,1.2,1.13,0.3325,0.66,0.708742999333,11.5322931346,1,0,0,0,1,0,50,2000,0,2029,40.58,0,44,0,2150,0.88,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,safe_expert_mixture_with_abstention,safe_expert_mixture,safe_expert_mixture_with_abstention,generated_policy_000083,,,random-32-32-20|50|1820|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
g550_targeted_probe_00000012,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1820|2000|0|14650fb0739d0383,random-32-32-20|a50|s1820|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1820_hgenerated_theta_targeted_short2000_t100_i2_b2000,generated_theta::repair5g550_theta_550000085,repair5g550_theta_550000085,repair5g550_theta_550000085,safe_expert_mixture_with_abstention,random-32-32-20,random,50,1820,2000,0,True,True,1.1901336074,1158,973,526.1877,44,2150,2029,-0.120246659815,0.0390544707091,False,-0.0698869475848,True,ef9d02122193856f,alpha_commit=1.1625000000000001|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.1625000000000001|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0.79000000000000004|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=0.93999999999999995|lambda_flow=0.88|min_edge_cost=0.57465648594600005|max_edge_cost=12|goal_projection_mode=flow_shield|flow_shield_beta=0.32900000000000001|max_flow_shield=0.59250000000000003,14650fb0739d0383,1.25,1.1625,1.25,0.75,0.75,1,0.79,0.95,1,0.94,0.88,0.329,0.5925,0.574656485946,12,1,0,0,0,1,0,50,2000,0,2029,40.58,0,44,0,2150,0.88,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,safe_expert_mixture_with_abstention,safe_expert_mixture,safe_expert_mixture_with_abstention,generated_policy_000084,,,random-32-32-20|50|1820|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
g550_targeted_probe_00000013,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1820|2000|0|14650fb0739d0383,random-32-32-20|a50|s1820|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1820_hgenerated_theta_targeted_short2000_t100_i2_b2000,generated_theta::repair5g550_theta_550000086,repair5g550_theta_550000086,repair5g550_theta_550000086,safe_expert_mixture_with_abstention,random-32-32-20,random,50,1820,2000,0,True,True,1.14696813977,1116,973,410.3513,43,2100,2029,-0.163412127441,-0.00411099691675,False,-0.0698869475848,True,55c77507bccca693,alpha_commit=1.425|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.425|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0.80000000000000004|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1.05|lambda_flow=0.83999999999999997|min_edge_cost=0.77897879205999998|max_edge_cost=9.7114047449199994|goal_projection_mode=flow_shield|flow_shield_beta=0.39550000000000002|max_flow_shield=0.81000000000000005,14650fb0739d0383,1.25,1.425,1.25,0.75,0.75,1,0.8,0.95,1,1.05,0.84,0.3955,0.81,0.77897879206,9.71140474492,1,0,0,0,1,0,50,2000,0,2029,40.58,0,43,0,2100,0.86,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,safe_expert_mixture_with_abstention,safe_expert_mixture,safe_expert_mixture_with_abstention,generated_policy_000085,,,random-32-32-20|50|1820|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
g550_targeted_probe_00000014,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1820|2000|0|14650fb0739d0383,random-32-32-20|a50|s1820|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1820_hgenerated_theta_targeted_short2000_t100_i2_b2000,generated_theta::repair5g550_theta_550000087,repair5g550_theta_550000087,repair5g550_theta_550000087,safe_expert_mixture_with_abstention,random-32-32-20,random,50,1820,2000,0,True,True,1.15416238438,1123,973,414.8262,43,2100,2029,-0.156217882837,0.00308324768756,False,-0.0698869475848,True,ef8a42c262bdb1af,alpha_commit=1.3500000000000001|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.3500000000000001|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=1.2|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1.1499999999999999|lambda_flow=0.87|min_edge_cost=0.51719083735100002|max_edge_cost=9.1044419483599999|goal_projection_mode=flow_shield|flow_shield_beta=0.371|max_flow_shield=0.8175,14650fb0739d0383,1.25,1.35,1.25,0.75,0.75,1,1.2,0.95,1,1.15,0.87,0.371,0.8175,0.517190837351,9.10444194836,1,0,0,0,1,0,50,2000,0,2029,40.58,0,43,0,2100,0.86,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,safe_expert_mixture_with_abstention,safe_expert_mixture,safe_expert_mixture_with_abstention,generated_policy_000086,,,random-32-32-20|50|1820|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
g550_targeted_probe_00000015,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1820|2000|0|14650fb0739d0383,random-32-32-20|a50|s1820|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1820_hgenerated_theta_targeted_short2000_t100_i2_b2000,generated_theta::repair5g550_theta_550000088,repair5g550_theta_550000088,repair5g550_theta_550000088,safe_expert_mixture_with_abstention,random-32-32-20,random,50,1820,2000,0,True,True,1.08119218911,1052,973,431.843,42,2050,2029,-0.229188078109,-0.0698869475848,True,-0.0698869475848,True,82c19eba4214515d,alpha_commit=1.1499999999999999|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.1499999999999999|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=1.1000000000000001|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=0.81999999999999995|lambda_flow=1.0600000000000001|min_edge_cost=0.56827141388000002|max_edge_cost=9.5090838127299993|goal_projection_mode=flow_shield|flow_shield_beta=0.3745|max_flow_shield=0.89249999999999996,14650fb0739d0383,1.25,1.15,1.25,0.75,0.75,1,1.1,0.95,1,0.82,1.06,0.3745,0.8925,0.56827141388,9.50908381273,1,0,0,0,1,0,50,2000,0,2029,40.58,0,42,0,2050,0.84,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,safe_expert_mixture_with_abstention,safe_expert_mixture,safe_expert_mixture_with_abstention,generated_policy_000087,,,random-32-32-20|50|1820|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
g550_targeted_probe_00000016,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1820|2000|0|14650fb0739d0383,random-32-32-20|a50|s1820|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1820_hgenerated_theta_targeted_short2000_t100_i2_b2000,generated_theta::repair5g550_theta_550000089,repair5g550_theta_550000089,repair5g550_theta_550000089,safe_expert_mixture_with_abstention,random-32-32-20,random,50,1820,2000,0,True,True,1.20041109969,1168,973,463.8502,44,2149,2029,-0.109969167523,0.049331963001,False,-0.0698869475848,True,8cad390846a6e88f,alpha_commit=1.2|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.2|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0.95999999999999996|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1.0900000000000001|lambda_flow=0.93999999999999995|min_edge_cost=0.51719083735100002|max_edge_cost=11.633453600699999|goal_projection_mode=flow_shield|flow_shield_beta=0.28000000000000003|max_flow_shield=0.6825,14650fb0739d0383,1.25,1.2,1.25,0.75,0.75,1,0.96,0.95,1,1.09,0.94,0.28,0.6825,0.517190837351,11.6334536007,1,0,0,0,1,0,50,2000,0,2029,40.58,0,44,0,2149,0.88,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,safe_expert_mixture_with_abstention,safe_expert_mixture,safe_expert_mixture_with_abstention,generated_policy_000088,,,random-32-32-20|50|1820|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
g550_targeted_probe_00000017,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1820|2000|0|14650fb0739d0383,random-32-32-20|a50|s1820|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1820_hgenerated_theta_targeted_short2000_t100_i2_b2000,generated_theta::repair5g550_theta_550000090,repair5g550_theta_550000090,repair5g550_theta_550000090,safe_expert_mixture_with_abstention,random-32-32-20,random,50,1820,2000,0,True,True,1.12024665982,1090,973,483.6464,42,2050,2029,-0.1901336074,-0.0308324768756,False,-0.0698869475848,True,ddb61e874f9f7124,alpha_commit=1.0249999999999999|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.0249999999999999|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=1.21|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=0.91000000000000003|lambda_flow=0.94999999999999996|min_edge_cost=0.708742999333|max_edge_cost=9.2056024144500004|goal_projection_mode=flow_shield|flow_shield_beta=0.39200000000000002|max_flow_shield=0.81000000000000005,14650fb0739d0383,1.25,1.025,1.25,0.75,0.75,1,1.21,0.95,1,0.91,0.95,0.392,0.81,0.708742999333,9.20560241445,1,0,0,0,1,0,50,2000,0,2029,40.58,0,42,0,2050,0.84,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,safe_expert_mixture_with_abstention,safe_expert_mixture,safe_expert_mixture_with_abstention,generated_policy_000089,,,random-32-32-20|50|1820|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
g550_targeted_probe_00000000,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1822|2000|0|14650fb0739d0383,random-32-32-20|a50|s1822|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1822_hgenerated_theta_targeted_short2000_t100_i2_b2000,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,baseline,random-32-32-20,random,50,1822,2000,0,True,True,1.24021838035,1363,1099,319.1984,49,2400,2358,0,0.130118289354,False,-0.0200181983621,True,35049bacad216c02,alpha_commit=1|alpha_block=1|alpha_wait_spillover=1|rho_decay=1|force_additive=1|enable_dual_channel=0|alpha_cong_commit_progress=0|alpha_cong_commit_nonprogress=1|alpha_cong_block=1|alpha_cong_wait_progress=1|alpha_cong_wait_nonprogress=1|alpha_flow_commit_progress=0|alpha_flow_wait_progress=0|rho_cong_decay=1|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=0.25|max_edge_cost=11|goal_projection_mode=none|flow_shield_beta=0|max_flow_shield=0,14650fb0739d0383,0,1,1,1,1,0,0,1,1,1,0,0,0.25,0.25,11,0,0,1,0,1,0,50,2000,0,2358,47.16,0,49,0,2400,0.98,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,additive_ltm,,,,,,random-32-32-20|50|1822|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
g550_targeted_probe_00000001,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1822|2000|0|14650fb0739d0383,random-32-32-20|a50|s1822|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1822_hgenerated_theta_targeted_short2000_t100_i2_b2000,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,baseline,random-32-32-20,random,50,1822,2000,0,True,True,1.11010009099,1220,1099,423.9474,45,2200,2358,-0.130118289354,0,False,-0.0200181983621,True,29737bed70c56f0d,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,1,11,1,0,0,0,1,0,50,2000,0,2358,47.16,0,45,0,2200,0.9,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,static_flow_shield,,,,,,random-32-32-20|50|1822|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
g550_targeted_probe_00000002,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1822|2000|0|14650fb0739d0383,random-32-32-20|a50|s1822|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1822_hgenerated_theta_targeted_short2000_t100_i2_b2000,frozen_family_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,baseline,random-32-32-20,random,50,1822,2000,0,True,True,1.13648771611,1249,1099,395.9971,45,2200,2358,-0.10373066424,0.0263876251137,False,-0.0200181983621,True,fbcf27bf34de68c,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.59999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.6,0.75,1,11,1,0,0,0,1,0,50,2000,0,2358,47.16,0,45,0,2200,0.9,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,frozen_family_static_goal_aware,,,,,,random-32-32-20|50|1822|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
g550_targeted_probe_00000003,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1822|2000|0|14650fb0739d0383,random-32-32-20|a50|s1822|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1822_hgenerated_theta_targeted_short2000_t100_i2_b2000,generated_theta::repair5g550_theta_550000074,repair5g550_theta_550000074,repair5g550_theta_550000074,safe_expert_mixture_with_abstention,random-32-32-20,random,50,1822,2000,0,True,True,1.11373976342,1224,1099,404.3056,45,2200,2358,-0.126478616924,0.00363967242948,False,-0.0200181983621,True,e273c43f09766657,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=1|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=1|min_edge_cost=0.43029438941100001|max_edge_cost=11.9625920748|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.430294389411,11.9625920748,1,0,0,0,1,0,50,2000,0,2358,47.16,0,45,0,2200,0.9,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,safe_expert_mixture_with_abstention,safe_expert_mixture,safe_expert_mixture_with_abstention,generated_policy_000073,,,random-32-32-20|50|1822|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
g550_targeted_probe_00000004,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1822|2000|0|14650fb0739d0383,random-32-32-20|a50|s1822|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1822_hgenerated_theta_targeted_short2000_t100_i2_b2000,generated_theta::repair5g550_theta_550000075,repair5g550_theta_550000075,repair5g550_theta_550000075,safe_expert_mixture_with_abstention,random-32-32-20,random,50,1822,2000,0,True,True,1.11373976342,1224,1099,529.5309,45,2200,2358,-0.126478616924,0.00363967242948,False,-0.0200181983621,True,7906456113685ae6,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=1|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=1|min_edge_cost=0.68327038345900004|max_edge_cost=11.945600108800001|goal_projection_mode=flow_shield|flow_shield_beta=0.34999999999999998|max_flow_shield=0.75,14650fb0739d0383,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.683270383459,11.9456001088,1,0,0,0,1,0,50,2000,0,2358,47.16,0,45,0,2200,0.9,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,safe_expert_mixture_with_abstention,safe_expert_mixture,safe_expert_mixture_with_abstention,generated_policy_000074,,,random-32-32-20|50|1822|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
g550_targeted_probe_00000005,new_g550_generated_theta_targeted_solver_row,True,True,random-32-32-20|50|1822|2000|0|14650fb0739d0383,random-32-32-20|a50|s1822|it0|g550_generated_theta_targeted_random_32_32_20_a50_s1822_hgenerated_theta_targeted_short2000_t100_i2_b2000,generated_theta::repair5g550_theta_550000076,repair5g550_theta_550000076,repair5g550_theta_550000076,safe_expert_mixture_with_abstention,random-32-32-20,random,50,1822,2000,0,True,True,1.09372156506,1202,1099,484.5631,45,2200,2358,-0.146496815287,-0.0163785259327,False,-0.0200181983621,True,b27be8f19dc8d955,alpha_commit=1.4750000000000001|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.4750000000000001|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0.80000000000000004|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1.1200000000000001|lambda_flow=1.1100000000000001|min_edge_cost=0.74705343172899996|max_edge_cost=9.1044419483599999|goal_projection_mode=flow_shield|flow_shield_beta=0.40949999999999998|max_flow_shield=0.87,14650fb0739d0383,1.25,1.475,1.25,0.75,0.75,1,0.8,0.95,1,1.12,1.11,0.4095,0.87,0.747053431729,9.10444194836,1,0,0,0,1,0,50,2000,0,2358,47.16,0,45,0,2200,0.9,40,0.2,0.2,0.45,False,False,False,False,False,True,True,,generated_theta_targeted,F_targeted_transfer,generated_theta_targeted_short2000_t100_i2,2000,2000,1,2,1820_1839,safe_expert_mixture_with_abstention,safe_expert_mixture,safe_expert_mixture_with_abstention,generated_policy_000075,,,random-32-32-20|50|1822|2000|generated_theta_targeted_short2000_t100_i2,True,,True,g550_generated_theta_targeted
