candidate_id,candidate_family,map_family,budget_ms,observed_rows,observed_success_regression_count,safe_high_margin_count,safe_gain_count,safe_equal_count,safe_worse_count,both_fail_count,quality_only_mean_delta,quality_only_median_delta,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,whitelist_rule_id,rule_condition,whitelist_reason
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max1p00_c0,high_beta,warehouse,500,24,0,0,0,0,0,24,0,0,False,False,False,False,False,g536_whitelist_0039,candidate_id=repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max1p00_c0;map_family=warehouse;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p6_max1p00_c0,high_beta,maze,1000,24,0,0,0,24,0,0,0,0,False,False,False,False,False,g536_whitelist_0040,candidate_id=repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p6_max1p00_c0;map_family=maze;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p6_max1p00_c0,high_beta,maze,500,24,0,0,0,12,0,12,0,0,False,False,False,False,False,g536_whitelist_0041,candidate_id=repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p6_max1p00_c0;map_family=maze;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p6_max1p00_c0,high_beta,random,1000,27,0,0,0,24,0,3,0,0,False,False,False,False,False,g536_whitelist_0042,candidate_id=repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p6_max1p00_c0;map_family=random;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p6_max1p00_c0,high_beta,random,500,24,0,0,2,22,0,0,0,0,False,False,False,False,False,g536_whitelist_0043,candidate_id=repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p6_max1p00_c0;map_family=random;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p6_max1p00_c0,high_beta,warehouse,1000,24,0,0,0,0,0,24,0,0,False,False,False,False,False,g536_whitelist_0044,candidate_id=repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p6_max1p00_c0;map_family=warehouse;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p6_max1p00_c0,high_beta,warehouse,500,24,0,0,0,0,0,24,0,0,False,False,False,False,False,g536_whitelist_0045,candidate_id=repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p6_max1p00_c0;map_family=warehouse;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0,high_beta,maze,1000,24,0,0,0,24,0,0,0,0,False,False,False,False,False,g536_whitelist_0046,candidate_id=repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0;map_family=maze;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0,high_beta,maze,500,24,0,0,0,12,0,12,0,0,False,False,False,False,False,g536_whitelist_0047,candidate_id=repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0;map_family=maze;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0,high_beta,random,1000,29,0,0,0,24,0,5,0,0,False,False,False,False,False,g536_whitelist_0048,candidate_id=repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0;map_family=random;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0,high_beta,random,500,24,0,0,2,22,0,0,0,0,False,False,False,False,False,g536_whitelist_0049,candidate_id=repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0;map_family=random;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0,high_beta,warehouse,1000,24,0,0,0,0,0,24,0,0,False,False,False,False,False,g536_whitelist_0050,candidate_id=repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0;map_family=warehouse;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0,high_beta,warehouse,500,24,0,0,0,0,0,24,0,0,False,False,False,False,False,g536_whitelist_0051,candidate_id=repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0;map_family=warehouse;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,high_beta,maze,1000,80,0,0,0,80,0,0,0,0,False,False,False,False,False,g536_whitelist_0052,candidate_id=repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0;map_family=maze;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,high_beta,maze,2000,73,0,15,20,52,1,0,0,0,False,False,False,False,False,g536_whitelist_0053,candidate_id=repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0;map_family=maze;budget_ms=2000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,high_beta,maze,500,80,0,0,0,40,0,40,0,0,False,False,False,False,False,g536_whitelist_0054,candidate_id=repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0;map_family=maze;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,high_beta,random,1000,91,0,0,0,79,1,11,0,0,False,False,False,False,False,g536_whitelist_0055,candidate_id=repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0;map_family=random;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,high_beta,warehouse,1000,28,0,0,0,0,0,28,0,0,False,False,False,False,False,g536_whitelist_0056,candidate_id=repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0;map_family=warehouse;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,high_beta,warehouse,500,24,0,0,0,0,0,24,0,0,False,False,False,False,False,g536_whitelist_0057,candidate_id=repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0;map_family=warehouse;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_flow_decay,flow_decay,maze,1000,101,0,0,0,101,0,0,0,0,False,False,False,False,False,g536_whitelist_0072,candidate_id=repair5g59_flow_decay;map_family=maze;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_flow_decay,flow_decay,maze,2000,100,0,28,30,70,0,0,0,0,False,False,False,False,False,g536_whitelist_0073,candidate_id=repair5g59_flow_decay;map_family=maze;budget_ms=2000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_flow_decay,flow_decay,maze,500,100,0,0,0,50,0,50,0,0,False,False,False,False,False,g536_whitelist_0074,candidate_id=repair5g59_flow_decay;map_family=maze;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_flow_decay,flow_decay,warehouse,1000,34,0,0,0,0,0,34,0,0,False,False,False,False,False,g536_whitelist_0075,candidate_id=repair5g59_flow_decay;map_family=warehouse;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_flow_decay,flow_decay,warehouse,2000,22,0,0,3,13,0,6,0,0,False,False,False,False,False,g536_whitelist_0076,candidate_id=repair5g59_flow_decay;map_family=warehouse;budget_ms=2000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_flow_decay,flow_decay,warehouse,500,34,0,0,0,0,0,34,0,0,False,False,False,False,False,g536_whitelist_0077,candidate_id=repair5g59_flow_decay;map_family=warehouse;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_high_beta_cap_safe,high_beta,maze,1000,101,0,0,0,101,0,0,0,0,False,False,False,False,False,g536_whitelist_0078,candidate_id=repair5g59_high_beta_cap_safe;map_family=maze;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_high_beta_cap_safe,high_beta,maze,500,100,0,0,0,50,0,50,0,0,False,False,False,False,False,g536_whitelist_0079,candidate_id=repair5g59_high_beta_cap_safe;map_family=maze;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_high_beta_cap_safe,high_beta,warehouse,1000,36,0,0,0,0,0,36,0,0,False,False,False,False,False,g536_whitelist_0080,candidate_id=repair5g59_high_beta_cap_safe;map_family=warehouse;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_high_beta_cap_safe,high_beta,warehouse,500,34,0,0,0,0,0,34,0,0,False,False,False,False,False,g536_whitelist_0081,candidate_id=repair5g59_high_beta_cap_safe;map_family=warehouse;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_low_beta_high_cap,low_beta,maze,1000,45,0,0,0,45,0,0,0,0,False,False,False,False,False,g536_whitelist_0087,candidate_id=repair5g59_low_beta_high_cap;map_family=maze;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_low_beta_high_cap,low_beta,maze,500,44,0,0,0,22,0,22,0,0,False,False,False,False,False,g536_whitelist_0088,candidate_id=repair5g59_low_beta_high_cap;map_family=maze;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_low_beta_high_cap,low_beta,warehouse,1000,32,0,0,0,0,0,32,0,0,False,False,False,False,False,g536_whitelist_0089,candidate_id=repair5g59_low_beta_high_cap;map_family=warehouse;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_low_beta_high_cap,low_beta,warehouse,500,34,0,0,0,0,0,34,0,0,False,False,False,False,False,g536_whitelist_0090,candidate_id=repair5g59_low_beta_high_cap;map_family=warehouse;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_static_flow_shield,static_flow_shield,maze,1000,102,0,0,0,101,0,1,0,0,False,False,False,False,False,g536_whitelist_0091,candidate_id=repair5g59_static_flow_shield;map_family=maze;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_static_flow_shield,static_flow_shield,maze,500,100,0,0,0,50,0,50,0,0,False,False,False,False,False,g536_whitelist_0092,candidate_id=repair5g59_static_flow_shield;map_family=maze;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_static_flow_shield,static_flow_shield,warehouse,1000,36,0,0,0,0,0,36,0,0,False,False,False,False,False,g536_whitelist_0093,candidate_id=repair5g59_static_flow_shield;map_family=warehouse;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g59_static_flow_shield,static_flow_shield,warehouse,500,34,0,0,0,0,0,34,0,0,False,False,False,False,False,g536_whitelist_0094,candidate_id=repair5g59_static_flow_shield;map_family=warehouse;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
